importance,+
author,Abler et al
title,From uncertainty to reward - BOLD characteristics differentiate signaling pathways
table_name,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty
contrast,risk > safe
keywords,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty
Name,Left/Right,Broadman Area,NV,t,X(R),Y(A),Z(S),subjects
MPFC,,,1184,5.53,2,50,-12,15
MPFC,,,,5.48,-8,34,-22,15
lateral orbitofrontal cortex,L,,87,4.04,-36,34,-18,15
DLPFC,L,,76,4.08,-26,26,44,15
hippocampal area,L,,310,5.09,-22,-18,-22,15
hippocampal area,R,,189,5.43,22,-16,-24,15
amygdala,R,,189,3.48,22,0,-20,15
medial temporal gyrus,L,,132,4.80,-60,-30,8,15
precuneus,R,,1177,6.06,14,-54,12,15
lateral occipital cortex,R,,1265,9.19,34,-96,-4,15
lateral occipital cortex,L,,297,5.68,-34,-94,-4,15
